"id","client_id","clientcategory_id"
"1","3","1"
"2","4","1"
"3","5","1"
"4","7","1"
"5","8","1"
"6","9","1"
"7","10","1"
"8","11","1"
"9","13","1"
"10","15","1"
"11","16","1"
"12","17","1"
"13","18","1"
"14","20","1"
"15","22","1"
"16","24","1"
"17","26","1"
"18","29","1"
"19","30","1"
"20","31","1"
"21","32","1"
"22","34","2"
"23","35","2"
"24","40","3"
"25","43","3"
"26","46","4"
"27","46","2"
"28","53","2"
"29","56","5"
"30","57","5"
"31","60","6"
"32","60","5"
"33","61","5"
"34","62","5"
"35","63","5"
"36","64","5"
"37","65","2"
"38","67","5"
"39","71","2"
"40","72","2"
"41","75","2"
"42","75","5"
"43","76","2"
"44","81","6"
"45","81","5"
"46","83","2"
"47","83","5"
"48","84","7"
"49","84","5"
"50","86","5"
"51","87","5"
"52","88","2"
"53","90","2"
"54","90","5"
"55","92","2"
"56","93","2"
"57","94","2"
"58","95","5"
"59","97","2"
"60","97","5"
"61","99","5"
"62","103","3"
"63","105","3"
"64","107","2"
"65","108","3"
"66","110","3"
"67","111","3"
"68","113","3"
"69","115","3"
"70","118","3"
"71","119","3"
"72","120","3"
"73","122","3"
"74","124","3"
"75","125","3"
"76","127","3"
"77","128","3"
"78","129","3"
"79","130","3"
"80","137","4"
"81","138","4"
"82","140","8"
"83","141","8"
"84","142","4"
"85","143","5"
"86","145","9"
"87","146","5"
"88","150","4"
"89","151","4"
"90","152","4"
"91","153","8"
"92","154","9"
"95","158","10"
"96","161","2"
"97","162","2"
"98","164","8"
"99","165","8"
"100","167","8"
"101","168","2"
"102","169","2"
"103","170","2"
"104","172","8"
"105","173","8"
"106","174","10"
"107","178","2"
"108","179","8"
"109","180","2"
"110","181","10"
"111","182","10"
"112","183","5"
"113","184","8"
"114","187","2"
"115","188","5"
"116","189","8"
"117","190","8"
"118","191","8"
"119","192","8"
"120","195","10"
"121","197","8"
"122","198","8"
"123","200","5"
"124","201","5"
"125","205","5"
"126","206","5"
"127","207","5"
"128","208","5"
"129","209","5"
"130","210","5"
"131","211","5"
"132","212","5"
"133","213","5"
"134","214","5"
"135","216","5"
"136","217","5"
"137","218","5"
"138","219","5"
"139","220","5"
"140","221","5"
"141","222","5"
"142","223","5"
"143","224","5"
"144","225","5"
"145","226","5"
"146","227","5"
"147","228","5"
"148","229","5"
"149","230","5"
"150","231","5"
"151","232","5"
"152","233","5"
"153","235","5"
"154","236","5"
"155","237","5"
"156","238","5"
"157","239","5"
"158","240","5"
"159","242","5"
"160","243","5"
"161","244","5"
"162","247","5"
"163","248","5"
"164","249","5"
"165","250","5"
"166","251","5"
"167","252","5"
"168","254","5"
"169","256","5"
"170","257","5"
"171","258","5"
"172","259","5"
"173","260","5"
"174","261","5"
"175","262","5"
"176","263","5"
"177","264","5"
"178","265","5"
"179","266","5"
"180","267","5"
"181","268","5"
"182","269","5"
"183","270","5"
"184","271","5"
"185","273","5"
"186","274","5"
"187","275","5"
"188","276","5"
"189","277","5"
"190","278","5"
"191","280","5"
"192","281","5"
"193","283","5"
"194","284","5"
"195","285","5"
"196","286","5"
"197","287","5"
"198","288","5"
"199","289","5"
"200","290","5"
"201","291","5"
"202","292","5"
"203","293","5"
"204","294","5"
"205","295","5"
"206","297","5"
"207","298","5"
"208","299","5"
"209","300","5"
"210","302","5"
"211","303","5"
"212","304","5"
"213","305","5"
"214","307","5"
"215","308","5"
"216","310","5"
"217","312","5"
"218","313","5"
"219","314","5"
"220","315","5"
"221","316","5"
"222","317","5"
"223","319","5"
"224","320","5"
"225","322","5"
"226","323","5"
"227","324","5"
"228","325","5"
"229","327","5"
"230","328","5"
"231","329","5"
"232","330","5"
"233","331","5"
"234","332","5"
"235","333","5"
"236","334","5"
"237","335","5"
"238","336","5"
"239","337","5"
"240","338","5"
"241","339","5"
"242","340","9"
"243","341","9"
"244","343","9"
"245","344","9"
"246","345","9"
"247","347","9"
"248","348","9"
"249","349","9"
"250","350","9"
"251","351","9"
"252","352","9"
"253","355","9"
"254","356","9"
"255","357","9"
"256","358","9"
"257","359","9"
"258","362","9"
"259","363","9"
"260","364","9"
"261","365","9"
"262","366","11"
"263","368","11"
"264","369","11"
"265","372","11"
"266","375","11"
"267","376","11"
"268","377","11"
"269","378","11"
"270","380","11"
"271","381","11"
"272","382","11"
"273","383","11"
"274","384","11"
"275","386","11"
"276","387","11"
"277","388","11"
"278","389","11"
"279","390","11"
"280","391","11"
"281","393","11"
"282","394","11"
"283","395","11"
"284","397","11"
"285","399","11"
"286","400","11"
"287","401","12"
"288","402","12"
"289","403","12"
"290","404","12"
"291","405","12"
"293","411","12"
"294","412","12"
"295","413","12"
"296","414","12"
"297","415","12"
"298","418","12"
"299","419","12"
"300","421","12"
"301","422","12"
"302","423","12"
"303","425","12"
"304","426","12"
"305","431","4"
"306","431","5"
"307","432","4"
"308","433","4"
"309","433","5"
"310","434","4"
"311","434","5"
"312","435","4"
"313","435","5"
"314","436","4"
"315","436","5"
"316","442","5"
"317","443","5"
"318","452","4"
"319","460","4"
"320","460","5"
"321","461","4"
"322","462","5"
"323","464","4"
"324","466","4"
"325","479","4"
"326","480","5"
"327","481","5"
"328","482","5"
"329","488","5"
"330","489","5"
"331","490","5"
"332","491","5"
"333","492","5"
"334","494","5"
"335","495","5"
"336","496","5"
"337","497","5"
"338","498","5"
"339","499","5"
"340","501","5"
"341","502","5"
"342","503","5"
"343","505","5"
"344","506","5"
"345","507","5"
"346","508","5"
"347","509","5"
"348","510","5"
"349","511","5"
"350","512","5"
"351","513","5"
"352","514","5"
"353","515","5"
"354","516","5"
"355","517","5"
"356","518","5"
"357","519","5"
"358","520","4"
"359","524","4"
"360","527","8"
"361","529","4"
"364","533","5"
"365","546","4"
"366","547","4"
"368","565","2"
"369","566","11"
"370","567","8"
"371","568","3"
"372","569","2"
"373","569","5"
"374","570","11"
"375","571","11"
"376","572","5"
"377","573","11"
"378","574","5"
"379","575","5"
"380","576","11"
"381","577","2"
"382","579","1"
"383","580","1"
"384","581","1"
"385","582","1"
"386","583","1"
"387","584","1"
"388","585","1"
"389","586","1"
"390","587","1"
"391","588","1"
"392","589","1"
"393","590","1"
"394","591","1"
"395","592","1"
"396","593","1"
"397","594","1"
"398","596","1"
"399","597","2"
"400","599","5"
"401","600","5"
"402","601","6"
"403","601","5"
"404","602","2"
"405","602","5"
"406","604","6"
"407","604","5"
"408","605","2"
"409","607","2"
"410","608","7"
"411","609","7"
"412","611","2"
"413","612","2"
"414","613","6"
"415","613","5"
"416","614","7"
"417","615","2"
"418","617","3"
"419","618","3"
"420","620","3"
"421","622","3"
"422","623","3"
"423","625","8"
"424","628","8"
"425","629","2"
"426","630","8"
"427","631","8"
"428","632","10"
"429","636","9"
"430","637","9"
"431","638","5"
"432","639","5"
"433","640","5"
"434","641","5"
"435","642","5"
"436","643","5"
"437","644","5"
"438","645","5"
"439","646","5"
"440","647","5"
"441","648","5"
"442","649","5"
"443","650","5"
"444","651","5"
"445","652","5"
"446","653","5"
"447","654","5"
"448","655","5"
"449","656","5"
"450","657","5"
"451","658","5"
"452","660","5"
"453","661","5"
"454","662","5"
"455","663","5"
"456","664","5"
"457","666","5"
"458","667","5"
"459","668","5"
"460","669","5"
"461","670","5"
"462","671","5"
"463","672","5"
"464","673","5"
"465","674","5"
"466","675","5"
"467","676","5"
"468","677","5"
"469","678","5"
"470","679","5"
"471","680","5"
"472","681","5"
"473","682","5"
"474","683","5"
"475","684","11"
"476","685","11"
"477","686","11"
"478","687","3"
"479","688","11"
"480","690","11"
"481","691","11"
"482","694","12"
"483","696","12"
"484","698","5"
"485","699","3"
"486","700","5"
"487","701","5"
"488","702","2"
"489","703","6"
"490","703","5"
"491","704","2"
"492","705","6"
"493","705","5"
"494","706","6"
"495","706","5"
"496","707","8"
"497","708","5"
"498","709","5"
"499","710","1"
"500","711","2"
"501","711","5"
"502","712","3"
"503","713","5"
"504","714","5"
"505","715","6"
"506","715","5"
"507","716","5"
"508","717","8"
"509","718","2"
"510","718","5"
"511","719","11"
"512","721","5"
"513","722","5"
"514","723","5"
"515","724","5"
"516","725","5"
"517","726","5"
"518","727","5"
"519","728","5"
"520","729","5"
"521","730","5"
"522","731","1"
"523","732","2"
"524","733","2"
"525","734","11"
"526","735","5"
"527","736","5"
"528","737","1"
"529","738","4"
"530","739","4"
"531","740","5"
"532","741","2"
"533","742","2"
"534","742","5"
"535","743","4"
"536","744","11"
"537","745","5"
"538","746","5"
"539","747","4"
"540","748","6"
"541","748","5"
"542","749","8"
"543","750","4"
"544","751","5"
"545","752","6"
"546","752","5"
"547","753","11"
"548","754","5"
"549","755","5"
"550","756","8"
"551","757","5"
"552","758","2"
"553","759","2"
"554","760","5"
"555","761","5"
"556","762","5"
"557","763","4"
"558","764","5"
"559","765","3"
"560","766","5"
"561","767","2"
"562","768","12"
"563","769","2"
"564","770","6"
"565","770","5"
"566","771","2"
"567","772","5"
"569","774","11"
"570","775","2"
"571","775","5"
"572","776","11"
"573","777","11"
"574","778","11"
"575","779","11"
"576","780","2"
"577","781","3"
"578","782","1"
"579","783","1"
"580","784","5"
"581","785","11"
"582","786","12"
"583","787","11"
"584","788","2"
"585","789","4"
"586","790","2"
"587","790","5"
"588","791","1"
"589","792","2"
"590","793","9"
"591","794","8"
"592","795","7"
"593","796","2"
"594","797","8"
"595","798","11"
"596","799","12"
"597","800","2"
"598","801","2"
"599","802","6"
"600","802","5"
"601","803","6"
